13,冒险时间 练习室版 -- 鹿晗
31,甜蜜蜜 官方版 -- 鹿晗
118,听 我们的明天-鹿晗
124,听 某时某刻 Catch me when I fall-鹿晗
205,听 致爱 Your Song-鹿晗
235,#鹿晗# 有点儿意思～
236,鹿晗现场版《我们的明天》，顺毛的鹿晗好乖～
255,鹿晗《某时某刻》首唱
308,听 勋章 (《我是证人》电影主题曲)-鹿晗
312,《超级冠军》跳舞的鹿晗帅的不得了
371,鹿晗某时某刻首唱啊啊啊！！！！！
385,吴世勋惹不住点赞！鹿晗新歌《某时某刻》好听到爆
398,鹿晗 新浪专访 这哥有点儿意思
462,#音乐##钢琴#鹿晗《我们的明天》祝自己生日快乐
513,#鹿晗## 某时某刻 Catch me when I fall 小剧场
530,鹿晗 2106年全球音乐盛典现场一曲《勋章》，非常好听
564,听 我们的明天 (《重返20岁》电影主题曲)-鹿晗
583,【鹿晗】《某时某刻 Catch me when I fall》正式MV
636,鹿晗 《某时某刻 Catch me when I fall》
682,听 《有点儿意思》（That Good Good）-鹿晗
691,【鹿晗】161119《 某时某刻 Catch me when I fall 》
704,大张伟演唱会，鹿晗《某时某刻》
721,鹿晗《某时某刻》全球首演
743,听 诺言 (手机品牌OPPO广告曲)-鹿晗
756,某时某刻听鹿晗
778,鹿晗 《某时某刻 catch me when i fall》首唱 cr
814,鹿晗《某时某刻》新歌首秀^^
839,听 原动力 (星战版) (《星球大战》电影推广曲)-鹿晗
873,致爱鹿晗
877,听 超级冠军-鹿晗
909,听 《冒险时间》（Adventure Time）-鹿晗
951,161119 鹿晗《某时某刻》全球首演
960,#鹿晗## 某时某刻 Catch me when I fall 小剧场
1019,"鹿晗《某时某刻》完整版,用心感受,去冲撞去飞翔"
1175,#音乐##鹿晗#某时某刻（这个天练琴是个折磨冷哭
1220,"谁给你的诺言, 鹿晗吗？"
1229,鹿晗 《致爱 Your Song》
1249,听 鹿店长的炸鸡酷炫之歌-鹿晗
1470,鹿晗 《勋章》
1628,谁对你有点儿意思？鹿晗吗？
1645,鹿晗现场版《我们的明天》，干净又美好！
1691,听 虫儿飞 (《我是证人》电影插曲)-鹿晗
1709,鹿晗首唱 某时某刻 ，画面糊也挡不住我鹿的帅
1717,鹿晗《超级冠军》舞蹈视频 舞者:polly
1850,我制作了一张歌词海报：鹿晗 《致爱 Your Song》
1860,听 甜蜜蜜-鹿晗
1861,谁许你的诺言．鹿晗吗
1871,某时某刻 鹿晗
1882,鹿晗 某时某刻
1933,听 Vol148 鹿晗特辑·流过的汗都是我的勋章-企鹅FM
1977,鹿晗的勋章
2005,"大张伟演唱会,鹿晗首唱,某时某刻"
2064,鹿晗 致爱mv 片段
2074,"鹿晗首唱,某时某刻,"
2102,鹿晗的某时某刻
2114,"觉得值得就继续。, , 越努力越幸运。,,,, 鹿晗LuHan"
2128,大张伟演唱会，鹿晗助阵首唱《某时某刻》
2309,"#某时某刻听鹿晗#{uin:1314,nick:"
2348,鹿晗 《我们的明天》
2377,大张伟演唱会 鹿晗某时某刻
2409,我制作了一张歌词海报：鹿晗 《我们的明天》
2415,我们的明天 鹿晗
2592,听 封印（Excited）-鹿晗
2620,#美好大片# #鹿晗# 某时某刻，成为自己世界里的英雄
2629,鹿晗再获荣耀勋章，展现王者风范
2675,鹿晗《某时某刻 Catch me when I fall》舞台首唱
2781,我制作了一张歌词海报：鹿晗 《勋章》
2800,谁给你的勋章，鹿晗吗？
2829,某时某刻 Catch me when I fall-鹿晗
2892,鹿晗——《勋章》
2958,"The rest of my life a Luhan,,余生一个鹿晗"
2993,"新曲《致爱之鹿晗破洞裤》,,笑喷"
3021,听说有人说JULY抄袭鹿晗的Lu哦
3022,听 请到长城来滑雪-鹿晗;陶喆
3023,听 Vol47：鹿晗舞曲新歌诉说“诺言”-企鹅FM
3064,鹿晗致爱
3137,鹿晗 《诺言》
3138,鹿晗《某时某刻》
3153,"鹿晗ins更新,头像也换了 我猜是微白城市吗,<图cr>"
3291,我们的明天-鹿晗
3317,谁给你承下的诺言，鹿晗吗？
3365,某时某刻(Catch me when I fall) 官方版 -- 鹿晗
3392,鹿晗 勋章
3472,鹿晗的《超级冠军》
3613,致爱 鹿晗
3642,勋章——鹿晗
3724,认真安利鹿晗先生的某时某刻现场版
3900,鹿晗7分钟剧情版《诺言》MV
4136,听 某时某刻 Catch me when I fall-鹿晗 某时某刻
4151,谁给你的诺言，鹿晗吗
4230,#某时某刻听鹿晗#
4742,听 甜蜜蜜 (《甜蜜蜜》电影同名主题曲)-鹿晗
4745,听 海底（Deep） (《功夫熊猫3》电影推广曲)-鹿晗
4756,谁给你的诺言，鹿晗吗？
4760,是谁让你学会致爱的？鹿晗吗？
4833,#某时某刻听鹿晗#就这样把第一次献给了#鹿晗#
4834,某时某刻——鹿晗
4835,某时某刻--鹿晗
5033,鹿晗 《致爱your song》
5041,鹿晗的致爱
5338,"“这场演唱会 是我给你们的诺言”, 全世界最好的鹿晗"
5411,勋章-鹿晗
5412,勋章 鹿晗
5505,我的鹿晗【超级冠军】舞蹈教学
5522,"同一附今日跑操音乐,鹿晗《勋章》"
5525,听 Lu-鹿晗
5742,鹿晗 有点儿意思
5746,鹿晗-一生定不变的诺言的照片#诚实的银都转啦#
5765,鹿晗-勋章
5775,鹿晗小镇Lu's Town温暖回归~
5786,鹿晗 我们的明天
5826,"鹿晗首次翻唱某时某刻,就问一句帅不帅"
5878,#鹿晗# #某时某刻听鹿晗# 恭喜歌手鹿晗
5879,鹿晗某时某刻全球首次现场完整版
5984,鹿晗 《原动力 (星战版)》
5990,鹿晗的有点儿意思
6005,鹿晗的《某时某刻》
6007,鹿晗的超级冠军
6119,鹿饭《致爱》 鹿晗
6158,【鹿晗】izzue x LuHan 有咩願望想話俾鹿晗知？
6270,"虫儿飞 , 鹿晗"
6363,"16-11-19大张伟演唱会,鹿晗现场首唱新歌{某时某刻}"
6544,勋章--鹿晗
6611,我制作了一张歌词海报：鹿晗 《致爱 Your Song》。
6733,听 我让你走了-鹿晗
6879,权志龙的《good boy》和鹿晗的《有点儿意思》混剪版
6981,某时某刻听鹿晗
6995,曼联球赛放了鹿晗的歌！！超级冠军响彻全场八万人！
7195,鹿晗＃甜蜜蜜＃
7305,鹿晗 - 某时某刻 真的很好听，推荐给你们！（来自
7306,#鹿晗##某时某刻听鹿晗# 这些年，我们读不懂的阿鹿
7312,鹿晗 冒险时间MV
7429,鹿晗 封印
7440,鹿晗《某时某刻》MV
7441,鹿晗——《某时某刻》
7449,鹿晗 《《冒险时间》（Adventure Time）》
7470,鹿晗的诺言
7534,鹿晗爱你一万年
7795,嗨起来233鹿晗超级冠军
7842,《勋章》鹿晗
8096,致爱鹿晗！
8097,致爱——鹿晗
8098,致爱 Your Song-鹿晗
8369,勋章，鹿晗
8370,勋章 (《我是证人》电影主题曲)-鹿晗 简单三字墨北曦
8371,勋章 (《我是证人》电影主题曲)-鹿晗
8491,我制作了一张歌词海报：鹿晗 《诺言》
